Date,HeatRisk,ED Visits,EMS Calls,Random Numbers
3/29/2012,0,848,5846,914
3/30/2012,0,631,4899,1040
3/31/2012,0,739,6344,1003
4/1/2012,0,809,5639,1043
4/2/2012,1,622,4198,985
4/3/2012,1,483,4877,978
4/4/2012,0,469,4106,1045
4/5/2012,0,687,5240,1006
4/6/2012,0,659,4666,1010
4/7/2012,1,891,6068,1028
4/8/2012,1,720,5981,1027
4/9/2012,1,476,5400,988
4/10/2012,0,623,5898,1023
4/11/2012,0,444,5048,983
4/12/2012,0,484,5291,931
4/13/2012,0,538,5826,1019
4/14/2012,0,795,5875,955
4/15/2012,0,823,6222,1018
4/16/2012,1,568,5737,1032
4/17/2012,1,415,5055,1054
4/18/2012,1,603,5671,1022
4/19/2012,1,556,4767,1064
4/20/2012,1,470,6158,990
4/21/2012,1,885,6332,1018
4/22/2012,0,748,6384,974
4/23/2012,0,491,5495,952
4/24/2012,0,514,5724,1015
4/25/2012,1,566,5217,915
4/26/2012,0,457,4614,1047
4/27/2012,0,590,5502,935
4/28/2012,1,699,6875,1023
4/29/2012,1,766,5750,1041
4/30/2012,0,558,5801,1033
5/1/2012,0,550,6166,1032
5/2/2012,0,527,5555,1056
5/3/2012,0,587,5936,980
5/4/2012,0,559,5984,1041
5/5/2012,1,708,6906,1014
5/6/2012,1,796,6286,985
5/7/2012,1,409,5475,1009
5/8/2012,0,529,5172,989
5/9/2012,1,522,5635,999
5/10/2012,1,498,5704,1030
5/11/2012,1,559,5219,983
5/12/2012,0,628,6865,956
5/13/2012,0,618,6073,1013
5/14/2012,1,347,5328,1008
5/15/2012,1,338,5524,965
5/16/2012,1,493,6825,978
5/17/2012,1,430,5326,962
5/18/2012,0,476,5189,996
5/19/2012,1,655,7013,1001
5/20/2012,1,684,6262,975
5/21/2012,1,382,6097,1043
5/22/2012,1,395,5953,1019
5/23/2012,1,382,6199,999
5/24/2012,1,585,5599,972
5/25/2012,0,468,4961,892
5/26/2012,0,601,6550,982
5/27/2012,0,678,6105,982
5/28/2012,1,349,5797,1032
5/29/2012,1,449,5367,951
5/30/2012,1,508,5951,986
5/31/2012,1,528,4817,1006
6/1/2012,1,618,5753,986
6/2/2012,1,614,6235,1136
6/3/2012,1,668,7085,994
6/4/2012,0,357,4688,1005
6/5/2012,1,468,5019,970
6/6/2012,1,361,7065,1044
6/7/2012,1,471,6049,954
6/8/2012,1,597,5751,1044
6/9/2012,1,731,6510,1033
6/10/2012,1,624,6824,971
6/11/2012,1,482,5948,1023
6/12/2012,1,414,6961,1013
6/13/2012,1,426,5648,925
6/14/2012,1,494,5506,1115
6/15/2012,1,318,5844,1063
6/16/2012,1,603,7063,982
6/17/2012,1,700,6377,1070
6/18/2012,1,405,4930,1018
6/19/2012,1,424,6836,1032
6/20/2012,1,518,5442,1040
6/21/2012,1,531,4576,951
6/22/2012,1,406,5551,998
6/23/2012,1,679,7094,1033
6/24/2012,1,800,7182,996
6/25/2012,1,404,5002,967
6/26/2012,1,459,5644,930
6/27/2012,1,413,6355,1015
6/28/2012,1,527,5285,946
6/29/2012,1,609,6036,962
6/30/2012,1,654,6138,919
7/1/2012,1,698,6619,974
7/2/2012,1,328,5577,1045
7/3/2012,1,256,5160,1029
7/4/2012,1,549,6533,1038
7/5/2012,1,634,5642,1012
7/6/2012,1,401,5954,978
7/7/2012,1,663,6359,988
7/8/2012,1,726,6711,1107
7/9/2012,1,494,6049,995
7/10/2012,1,493,5482,1005
7/11/2012,2,490,5475,1010
7/12/2012,1,519,4773,933
7/13/2012,1,480,5144,997
7/14/2012,1,627,6288,986
7/15/2012,1,602,6769,954
7/16/2012,1,419,6249,989
7/17/2012,1,548,5181,1067
7/18/2012,1,426,5423,987
7/19/2012,2,692,5453,973
7/20/2012,1,572,5937,1050
7/21/2012,1,728,6942,1039
7/22/2012,1,686,6958,955
7/23/2012,1,288,6354,1065
7/24/2012,1,429,5695,923
7/25/2012,1,539,5655,962
7/26/2012,1,467,6176,1064
7/27/2012,1,516,6198,939
7/28/2012,1,564,5938,956
7/29/2012,1,739,6694,1023
7/30/2012,1,415,5874,1061
7/31/2012,1,318,5559,1072
8/1/2012,1,442,6027,1017
8/2/2012,1,464,4919,1155
8/3/2012,1,495,6349,980
8/4/2012,1,554,6605,964
8/5/2012,1,724,6681,923
8/6/2012,1,416,4617,1007
8/7/2012,2,464,5924,931
8/8/2012,2,453,5839,977
8/9/2012,2,449,6036,1054
8/10/2012,2,458,6762,937
8/11/2012,2,707,6774,954
8/12/2012,2,848,6727,1012
8/13/2012,2,284,6579,972
8/14/2012,2,542,6269,971
8/15/2012,1,589,5586,1022
8/16/2012,2,666,5753,1022
8/17/2012,2,550,5816,938
8/18/2012,3,618,7338,1057
8/19/2012,2,836,6708,1037
8/20/2012,2,507,4697,1032
8/21/2012,1,458,6150,1002
8/22/2012,1,399,6244,1070
8/23/2012,1,616,6341,1027
8/24/2012,1,655,6131,1046
8/25/2012,1,717,6280,893
8/26/2012,1,618,6281,1024
8/27/2012,1,421,5447,964
8/28/2012,2,550,5732,930
8/29/2012,2,569,5408,1003
8/30/2012,2,656,5973,1010
8/31/2012,1,539,5661,1000
9/1/2012,1,596,7279,947
9/2/2012,2,796,5584,1041
9/3/2012,1,445,6276,957
9/4/2012,2,367,5015,990
9/5/2012,1,740,5642,1081
9/6/2012,2,622,5413,939
9/7/2012,1,591,4966,1092
9/8/2012,2,750,6954,981
9/9/2012,2,912,6437,1062
9/10/2012,2,622,6234,999
9/11/2012,1,568,6091,1004
9/12/2012,1,698,6115,1090
9/13/2012,1,559,5231,993
9/14/2012,3,605,5740,956
9/15/2012,3,977,6739,1003
9/16/2012,2,801,6522,1105
9/17/2012,1,506,6664,955
9/18/2012,1,589,5514,909
9/19/2012,1,741,4770,1064
9/20/2012,2,653,5350,1067
9/21/2012,2,720,6504,1033
9/22/2012,2,816,5835,1087
9/23/2012,2,839,6795,1012
9/24/2012,1,427,4874,945
9/25/2012,1,587,5590,1048
9/26/2012,1,553,4747,1094
9/27/2012,1,756,5082,1028
9/28/2012,1,648,5761,1024
9/29/2012,1,1001,6002,892
9/30/2012,2,790,6554,1038
10/1/2012,2,656,4780,1034
10/2/2012,2,489,5387,1090
10/3/2012,1,712,5646,1029
10/4/2012,1,685,5833,978
10/5/2012,1,855,5558,946
10/6/2012,1,908,6410,997
10/7/2012,1,927,5975,983
10/8/2012,1,780,5337,997
10/9/2012,1,677,5567,944
10/10/2012,1,568,5385,992
10/11/2012,1,798,6285,1041
10/12/2012,0,668,5244,987
10/13/2012,1,844,6456,1002
10/14/2012,2,1054,6724,926
10/15/2012,2,799,5180,1063
10/16/2012,2,714,4868,1042
10/17/2012,2,750,5834,952
10/18/2012,1,805,4872,999
10/19/2012,1,788,5874,1035
10/20/2012,1,849,6342,1043
10/21/2012,1,903,7037,1035
10/22/2012,0,693,5329,979
10/23/2012,0,664,5520,1022
10/24/2012,1,779,4876,911
10/25/2012,1,838,4562,1027
10/26/2012,1,833,5047,945
10/27/2012,2,971,6698,1057
10/28/2012,1,913,6583,975
10/29/2012,1,734,5402,1065
10/30/2012,1,696,5281,964
10/31/2012,0,581,5029,938
11/1/2012,0,1005,5422,1024
11/2/2012,0,810,5231,1061
11/3/2012,1,867,5285,1108
11/4/2012,2,1047,6514,1029
11/5/2012,2,709,5192,1004
11/6/2012,1,622,5006,975
11/7/2012,0,707,4714,957
11/8/2012,0,786,4437,966
11/9/2012,0,734,4472,1050
11/10/2012,0,980,6424,1038
11/11/2012,0,834,6769,1037
11/12/2012,1,686,4797,920
11/13/2012,1,700,5578,997
11/14/2012,1,806,5122,940
11/15/2012,0,711,5156,1087
11/16/2012,0,835,5391,1021
11/17/2012,0,931,5154,1079
11/18/2012,0,1044,6486,1014
11/19/2012,0,868,4300,975
11/20/2012,0,734,4563,1037
11/21/2012,0,798,4590,957
11/22/2012,1,789,4637,1065
11/23/2012,1,998,4330,956
11/24/2012,1,1079,5970,937
11/25/2012,0,1031,6304,1032
11/26/2012,0,850,4013,933
11/27/2012,0,682,4422,963
11/28/2012,0,735,5128,950
11/29/2012,0,869,5335,947
11/30/2012,0,1007,5342,1066
12/1/2012,0,1012,5917,1009
12/2/2012,0,1038,4577,1047
12/3/2012,0,780,4731,1033
12/4/2012,0,720,4472,960
12/5/2012,0,756,5309,1091
12/6/2012,0,837,4856,1096
12/7/2012,0,883,5308,1006
12/8/2012,0,935,6266,1037
12/9/2012,0,1048,6010,967
12/10/2012,1,773,5023,969
12/11/2012,0,750,6197,1036
12/12/2012,0,860,4233,1017
12/13/2012,0,965,5096,1023
12/14/2012,0,880,4922,1015
12/15/2012,0,1032,6573,955
12/16/2012,0,1065,5930,993
12/17/2012,0,904,4465,1019
12/18/2012,0,772,4641,1027
12/19/2012,0,811,4268,970
12/20/2012,0,841,5352,942
12/21/2012,0,889,5697,1006
12/22/2012,0,954,4562,857
12/23/2012,0,1219,6211,922
12/24/2012,0,661,4592,989
12/25/2012,0,779,3718,1020
12/26/2012,0,735,5351,910
12/27/2012,0,839,5264,971
12/28/2012,0,899,5173,990
12/29/2012,0,1009,5860,997
12/30/2012,0,1024,5085,945
12/31/2012,0,779,5386,1062
1/1/2013,0,684,5366,968
1/2/2013,0,883,4564,955
1/3/2013,0,856,5056,1057
1/4/2013,0,882,5091,1159
1/5/2013,0,1075,4759,870
1/6/2013,0,1097,5190,1003
1/7/2013,0,791,4545,1005
1/8/2013,1,828,4514,1003
1/9/2013,0,863,5177,1019
1/10/2013,0,804,5568,1094
1/11/2013,0,840,5403,979
1/12/2013,0,1006,4897,1068
1/13/2013,0,1103,5322,982
1/14/2013,0,616,4585,927
1/15/2013,0,911,5027,1019
1/16/2013,0,680,4934,939
1/17/2013,1,995,4909,952
1/18/2013,1,926,4794,1000
1/19/2013,1,1179,5674,1083
1/20/2013,1,1161,4674,1047
1/21/2013,1,715,5570,1039
1/22/2013,1,645,5327,978
1/23/2013,1,843,4457,982
1/24/2013,0,800,5128,992
1/25/2013,0,925,4882,984
1/26/2013,0,1044,5660,1010
1/27/2013,0,1087,5320,965
1/28/2013,0,707,3760,1015
1/29/2013,0,749,4412,988
1/30/2013,0,839,4290,888
1/31/2013,1,849,5659,975
2/1/2013,1,820,4913,984
2/2/2013,1,963,6495,989
2/3/2013,1,1072,6140,1067
2/4/2013,0,643,5111,963
2/5/2013,0,786,4681,891
2/6/2013,0,637,4805,971
2/7/2013,0,899,5149,1084
2/8/2013,0,884,5017,1027
2/9/2013,0,1111,6355,956
2/10/2013,0,1243,5578,1006
2/11/2013,0,686,5122,1026
2/12/2013,0,795,3942,891
2/13/2013,0,764,5475,974
2/14/2013,1,697,5418,976
2/15/2013,1,921,5333,1047
2/16/2013,1,1127,6742,1053
2/17/2013,0,1003,6029,963
2/18/2013,0,667,6032,906
2/19/2013,0,749,5085,971
2/20/2013,0,874,4778,1088
2/21/2013,0,808,4409,1044
2/22/2013,0,803,5599,945
2/23/2013,0,944,6295,994
2/24/2013,0,936,5746,957
2/25/2013,0,762,5239,965
2/26/2013,1,694,5280,1042
2/27/2013,1,719,4897,1003
2/28/2013,1,792,5369,1005
3/1/2013,1,843,4817,959
3/2/2013,1,974,5505,1069
3/3/2013,0,1009,7343,991
3/4/2013,0,759,5383,1025
3/5/2013,0,659,5136,1099
3/6/2013,0,676,4926,938
3/7/2013,0,754,5522,991
3/8/2013,0,796,5923,1026
3/9/2013,0,932,5187,1013
3/10/2013,0,909,6424,1038
3/11/2013,1,697,4908,1113
3/12/2013,1,798,5186,959
3/13/2013,1,638,5541,1013
3/14/2013,1,620,5983,1010
3/15/2013,1,879,5468,996
3/16/2013,0,817,6593,1060
3/17/2013,0,873,6041,987
3/18/2013,0,498,5558,1028
3/19/2013,0,746,5274,974
3/20/2013,0,737,5749,946
3/21/2013,0,621,6118,1016
3/22/2013,0,660,4398,1000
3/23/2013,0,767,6202,985
3/24/2013,1,891,7043,993
3/25/2013,1,632,4252,916
3/26/2013,0,563,6052,1002
3/27/2013,0,586,5436,1013
3/28/2013,1,730,5734,1049
3/29/2013,0,649,6275,1021
3/30/2013,0,813,6026,1053
3/31/2013,0,907,5848,1055
4/1/2013,0,689,5279,1116
4/2/2013,0,476,5526,927
4/3/2013,1,698,6257,1021
4/4/2013,0,554,6179,968
4/5/2013,0,550,5199,987
4/6/2013,0,751,7271,1007
4/7/2013,1,904,7209,962
4/8/2013,0,579,5664,999
4/9/2013,1,493,5317,947
4/10/2013,1,681,5651,1042
4/11/2013,1,596,5511,974
4/12/2013,0,669,5727,1009
4/13/2013,0,794,6404,999
4/14/2013,0,908,7185,998
4/15/2013,0,567,5935,979
4/16/2013,0,586,5129,1039
4/17/2013,1,560,5846,1030
4/18/2013,1,606,6274,993
4/19/2013,1,655,5924,970
4/20/2013,1,720,6667,964
4/21/2013,1,948,6115,1100
4/22/2013,0,439,5989,996
4/23/2013,1,441,6042,944
4/24/2013,0,481,5486,1034
4/25/2013,0,797,5499,1013
4/26/2013,1,551,5259,1066
4/27/2013,0,760,7526,1045
4/28/2013,1,773,6559,1069
4/29/2013,1,449,6108,898
4/30/2013,0,473,5438,973
5/1/2013,1,564,6995,1093
5/2/2013,1,631,5960,903
5/3/2013,2,592,5960,968
5/4/2013,1,858,6637,1011
5/5/2013,0,749,7119,1027
5/6/2013,0,509,5949,1018
5/7/2013,0,477,5052,1001
5/8/2013,0,395,5409,996
5/9/2013,1,633,6645,925
5/10/2013,1,517,5939,968
5/11/2013,1,727,6977,1034
5/12/2013,2,673,7479,997
5/13/2013,2,365,6160,1077
5/14/2013,1,295,6273,1084
5/15/2013,1,595,6503,1003
5/16/2013,0,578,5874,1031
5/17/2013,1,623,5950,891
5/18/2013,1,739,7319,1004
5/19/2013,1,784,6043,938
5/20/2013,1,444,6655,959
5/21/2013,1,341,6587,1017
5/22/2013,1,512,6777,912
5/23/2013,0,509,6578,1061
5/24/2013,1,582,6232,964
5/25/2013,0,790,6593,932
5/26/2013,1,770,6605,1092
5/27/2013,1,415,5917,908
5/28/2013,1,408,5656,1040
5/29/2013,1,422,5728,1003
5/30/2013,1,512,5037,1047
5/31/2013,1,497,6520,1063
6/1/2013,1,683,7292,1083
6/2/2013,1,582,7171,998
6/3/2013,1,405,6900,1009
6/4/2013,1,286,5489,976
6/5/2013,0,439,6593,960
6/6/2013,0,635,5938,1062
6/7/2013,0,448,5595,994
6/8/2013,1,773,7062,994
6/9/2013,1,681,6965,997
6/10/2013,1,577,6064,915
6/11/2013,1,296,6429,1048
6/12/2013,0,454,6097,1007
6/13/2013,1,408,6456,1086
6/14/2013,1,482,6694,976
6/15/2013,1,679,7116,1021
6/16/2013,1,661,6086,948
6/17/2013,1,441,6101,1006
6/18/2013,1,531,6253,1071
6/19/2013,1,534,5318,957
6/20/2013,1,471,5652,1032
6/21/2013,1,593,6433,1044
6/22/2013,1,732,5913,1001
6/23/2013,1,608,6553,1021
6/24/2013,1,361,5785,1046
6/25/2013,1,311,6150,902
6/26/2013,1,549,6640,924
6/27/2013,2,555,6935,942
6/28/2013,2,547,5982,968
6/29/2013,2,765,6731,1080
6/30/2013,2,697,6639,1035
7/1/2013,2,400,6001,930
7/2/2013,1,524,6306,1032
7/3/2013,1,495,6661,951
7/4/2013,1,383,6161,984
7/5/2013,1,361,6225,1035
7/6/2013,1,626,7099,1040
7/7/2013,1,643,7111,932
7/8/2013,1,368,5926,969
7/9/2013,2,567,6380,1019
7/10/2013,1,416,6089,1009
7/11/2013,1,474,5860,945
7/12/2013,1,444,6771,933
7/13/2013,1,734,7499,970
7/14/2013,1,645,7325,985
7/15/2013,1,299,4762,987
7/16/2013,1,519,5287,1021
7/17/2013,1,369,6689,1030
7/18/2013,1,517,6408,971
7/19/2013,1,451,5458,939
7/20/2013,1,525,6835,959
7/21/2013,1,706,7111,1007
7/22/2013,1,379,5572,1015
7/23/2013,1,280,5781,944
7/24/2013,1,601,6242,1058
7/25/2013,1,342,6487,1033
7/26/2013,1,715,6636,888
7/27/2013,1,720,7731,981
7/28/2013,1,683,7171,1012
7/29/2013,1,329,6551,983
7/30/2013,1,413,6612,1026
7/31/2013,1,523,5724,1039
8/1/2013,1,515,6405,1006
8/2/2013,1,607,6024,1031
8/3/2013,1,684,7147,1028
8/4/2013,1,721,6894,1058
8/5/2013,1,510,6497,963
8/6/2013,1,374,5996,1072
8/7/2013,1,455,6223,1012
8/8/2013,1,611,6331,1052
8/9/2013,1,517,5792,1026
8/10/2013,1,756,6636,984
8/11/2013,1,793,7224,1074
8/12/2013,1,421,4940,1077
8/13/2013,1,560,6430,1117
8/14/2013,1,450,6341,973
8/15/2013,1,680,6794,1054
8/16/2013,1,629,7287,961
8/17/2013,1,569,7375,1060
8/18/2013,1,756,6989,928
8/19/2013,1,474,5190,1114
8/20/2013,1,424,6079,946
8/21/2013,1,644,6139,984
8/22/2013,1,450,5530,983
8/23/2013,1,555,6051,956
8/24/2013,1,822,6966,969
8/25/2013,1,872,6556,964
8/26/2013,2,548,6643,960
8/27/2013,2,561,6072,1000
8/28/2013,2,485,6606,1029
8/29/2013,3,602,6225,1018
8/30/2013,2,629,6055,1012
8/31/2013,2,875,7456,1101
9/1/2013,1,890,6450,987
9/2/2013,1,522,6171,1029
9/3/2013,2,520,5554,1124
9/4/2013,2,484,6788,961
9/5/2013,2,625,6756,1082
9/6/2013,2,761,6739,999
9/7/2013,2,789,6975,1077
9/8/2013,1,953,6069,1025
9/9/2013,1,460,5712,1004
9/10/2013,1,544,6289,1030
9/11/2013,1,632,5445,978
9/12/2013,1,683,6290,1048
9/13/2013,1,565,4924,1008
9/14/2013,1,638,6055,975
9/15/2013,2,940,7850,951
9/16/2013,1,512,6125,1060
9/17/2013,1,460,5613,970
9/18/2013,1,664,5683,966
9/19/2013,1,718,5925,911
9/20/2013,0,713,6010,904
9/21/2013,1,775,5573,1080
9/22/2013,1,991,6569,1006
9/23/2013,2,639,5452,1014
9/24/2013,1,718,6044,1021
9/25/2013,1,684,6122,1092
9/26/2013,1,625,6234,966
9/27/2013,1,665,4606,1116
9/28/2013,1,782,6971,901
9/29/2013,1,971,6321,1036
9/30/2013,1,739,5067,1056
10/1/2013,1,607,5122,1112
10/2/2013,1,776,6129,992
10/3/2013,1,760,5758,939
10/4/2013,1,706,5233,974
10/5/2013,1,965,6234,1028
10/6/2013,1,1018,5726,854
10/7/2013,1,580,5529,1006
10/8/2013,1,627,5552,1065
10/9/2013,0,656,5065,842
10/10/2013,0,571,4657,1034
10/11/2013,1,814,4877,986
10/12/2013,1,887,6785,981
10/13/2013,0,947,6270,975
10/14/2013,1,671,5552,1027
10/15/2013,1,712,6200,1000
10/16/2013,1,778,5672,1059
10/17/2013,1,775,5180,986
10/18/2013,1,817,5399,1035
10/19/2013,1,976,6377,1049
10/20/2013,1,898,7364,934
10/21/2013,1,664,5952,1028
10/22/2013,0,729,5369,979
10/23/2013,0,750,5277,964
10/24/2013,0,739,6020,1058
10/25/2013,0,878,5561,994
10/26/2013,1,963,7189,958
10/27/2013,1,875,6051,920
10/28/2013,0,662,5951,966
10/29/2013,0,740,5005,981
10/30/2013,0,729,5545,1017
10/31/2013,1,919,4774,1093
11/1/2013,1,946,5959,1016
11/2/2013,1,981,5823,975
11/3/2013,0,1095,5895,1038
11/4/2013,0,852,5461,1089
11/5/2013,1,843,6127,997
11/6/2013,1,778,5927,975
11/7/2013,1,885,6062,972
11/8/2013,1,963,5297,968
11/9/2013,1,938,5975,1060
11/10/2013,1,1144,5949,963
11/11/2013,1,782,5857,899
11/12/2013,1,803,5765,963
11/13/2013,2,816,5138,1106
11/14/2013,2,828,4984,845
11/15/2013,0,750,4900,1029
11/16/2013,0,973,6371,968
11/17/2013,0,992,6471,946
11/18/2013,0,692,5376,953
11/19/2013,0,735,4951,976
11/20/2013,0,745,5261,1007
11/21/2013,0,1006,5099,1036
11/22/2013,0,944,5432,1029
11/23/2013,0,1089,5335,974
11/24/2013,0,1056,6298,995
11/25/2013,0,864,5668,1061
11/26/2013,1,723,5386,970
11/27/2013,1,928,5205,994
11/28/2013,0,893,5097,1010
11/29/2013,0,768,4854,971
11/30/2013,1,1076,6352,1068
12/1/2013,1,1010,5497,994
12/2/2013,1,688,4864,1051
12/3/2013,0,927,5187,1051
12/4/2013,0,817,5470,1057
12/5/2013,0,882,5182,949
12/6/2013,0,933,5609,968
12/7/2013,0,1043,5519,1072
12/8/2013,0,1172,6476,950
12/9/2013,0,806,4426,1045
12/10/2013,0,910,5471,1017
12/11/2013,1,864,5787,1008
12/12/2013,0,735,5274,1110
12/13/2013,0,895,4783,984
12/14/2013,1,1173,6526,972
12/15/2013,1,1126,5922,1016
12/16/2013,1,888,5130,1039
12/17/2013,1,576,5877,1004
12/18/2013,0,790,5315,996
12/19/2013,0,859,5658,1007
12/20/2013,0,972,5330,958
12/21/2013,0,1053,6316,1102
12/22/2013,0,1156,5796,1069
12/23/2013,1,847,5329,1092
12/24/2013,1,834,5492,951
12/25/2013,1,941,4800,945
12/26/2013,1,832,5191,1019
12/27/2013,1,820,5143,988
12/28/2013,1,1096,6044,989
12/29/2013,1,1151,6678,1026
12/30/2013,1,805,4908,995
12/31/2013,0,787,5123,1067
1/1/2014,0,825,4652,926
1/2/2014,1,1026,6040,989
1/3/2014,0,911,4367,1132
1/4/2014,0,1234,6375,985
1/5/2014,1,1103,6334,1067
1/6/2014,1,837,5475,1061
1/7/2014,0,912,4928,1026
1/8/2014,0,865,5663,1019
1/9/2014,0,969,5717,1020
1/10/2014,0,814,4930,974
1/11/2014,1,994,6126,1028
1/12/2014,0,987,6195,917
1/13/2014,1,886,5115,1026
1/14/2014,1,885,5064,945
1/15/2014,1,901,5739,955
1/16/2014,1,1006,6929,951
1/17/2014,1,912,5233,936
1/18/2014,1,1160,5900,1031
1/19/2014,1,1059,6527,907
1/20/2014,1,673,5138,992
1/21/2014,1,854,6752,900
1/22/2014,1,898,5728,995
1/23/2014,0,821,4954,1069
1/24/2014,1,910,5801,1055
1/25/2014,1,1116,6809,1019
1/26/2014,0,945,6043,991
1/27/2014,0,735,5398,1011
1/28/2014,0,883,4879,1034
1/29/2014,0,843,5719,1032
1/30/2014,0,803,5646,1033
1/31/2014,0,915,5857,918
2/1/2014,0,924,7100,995
2/2/2014,0,1115,6495,984
2/3/2014,0,659,6025,942
2/4/2014,0,844,4606,998
2/5/2014,0,856,5636,1002
2/6/2014,0,846,5180,1013
2/7/2014,0,866,5248,1029
2/8/2014,0,1009,6188,997
2/9/2014,0,943,6177,965
2/10/2014,1,771,5284,1034
2/11/2014,1,738,5260,955
2/12/2014,1,655,5528,915
2/13/2014,1,885,5219,1033
2/14/2014,1,755,5821,980
2/15/2014,1,905,7095,941
2/16/2014,1,1041,5769,1055
2/17/2014,0,703,5550,978
2/18/2014,0,828,5729,1122
2/19/2014,0,758,6158,1059
2/20/2014,1,1004,6343,988
2/21/2014,1,861,5949,970
2/22/2014,1,969,6401,1028
2/23/2014,1,1064,7135,1001
2/24/2014,1,795,5863,948
2/25/2014,0,734,5071,947
2/26/2014,0,832,5699,933
2/27/2014,0,852,4848,1041
2/28/2014,0,754,5572,880
3/1/2014,0,960,6695,1002
3/2/2014,0,1005,6939,991
3/3/2014,0,780,4395,993
3/4/2014,0,626,5448,905
3/5/2014,0,836,4527,1048
3/6/2014,0,808,5615,1073
3/7/2014,0,851,5455,1000
3/8/2014,1,972,5908,902
3/9/2014,1,1055,6106,998
3/10/2014,1,606,6105,958
3/11/2014,1,743,6468,899
3/12/2014,1,726,5241,969
3/13/2014,0,878,5471,1005
3/14/2014,0,764,6332,943
3/15/2014,1,939,6364,974
3/16/2014,2,958,7019,969
3/17/2014,1,591,5948,1046
3/18/2014,1,483,5151,970
3/19/2014,1,593,4725,1049
3/20/2014,1,778,6356,1090
3/21/2014,0,792,5916,978
3/22/2014,0,895,7473,1017
3/23/2014,0,975,6268,1022
3/24/2014,0,612,5551,904
3/25/2014,0,576,5780,944
3/26/2014,0,733,5610,945
3/27/2014,0,475,6567,1006
3/28/2014,0,701,5994,996
3/29/2014,1,902,6608,1072
3/30/2014,0,936,6562,905
3/31/2014,0,487,6059,966
4/1/2014,0,646,4687,1056
4/2/2014,0,703,4997,1069
4/3/2014,0,680,5505,1024
4/4/2014,0,665,6278,1062
4/5/2014,0,933,7229,1033
4/6/2014,1,836,7014,989
4/7/2014,1,687,5650,938
4/8/2014,2,676,7164,961
4/9/2014,2,679,6406,1090
4/10/2014,1,514,6771,1003
4/11/2014,1,698,6054,1005
4/12/2014,0,880,6159,1030
4/13/2014,0,847,6824,921
4/14/2014,1,651,5879,1073
4/15/2014,0,718,4836,1128
4/16/2014,1,662,6753,930
4/17/2014,0,504,6583,1002
4/18/2014,1,492,6180,977
4/19/2014,0,820,6108,978
4/20/2014,1,850,6609,1031
4/21/2014,1,508,5606,1019
